id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31964808,★Beacon Hill Writer's Lair★Comfort History★Ace Loc,238179467,The,,Beacon Hill,42.3582,-71.06778,Entire home/apt,69,32,4,2020-07-06,0.17,8,214
31983770,🌳Walk to MGH🏨Patio🌲5 Star🌻Sanitized🐶Dogs Ok,238179467,The,,Beacon Hill,42.35903,-71.06966,Entire home/apt,149,31,18,2020-06-30,0.77,8,223
31984461,🌳Walk to MGH🏨Deck🌲5 Star🌻Sanitized🐶Dogs Ok,238179467,The,,Beacon Hill,42.36031,-71.06851,Entire home/apt,149,28,19,2020-12-13,0.82,8,363
32012250,"East Boston- Newly Renovated, Prof. Clean, 1bd Apt",697401,Nick,,East Boston,42.37106,-71.03382,Entire home/apt,75,28,5,2020-12-15,0.29,4,154
32016148,A bit of France in Boston - Super Clean,29218948,Aaron & Catherine,,Dorchester,42.31594,-71.0688,Private room,90,1,56,2020-03-02,2.46,2,90
32024417,"Large Room Near BU, Harvard, MIT & Downtown Boston",9974594,Hank,,Allston,42.35027,-71.13362,Private room,84,91,36,2019-08-28,1.50,6,90
32062716,"Lovely Beacon Hill 2BR w/Great Views, Gym + Doorman by Blueground",107434423,Blueground,,West End,42.36497,-71.06887,Entire home/apt,202,32,0,,,120,171
32102560,#B101 Boston New Central  AC queen bed 全楼禁烟 厨具齐备,105851798,Anne,,Dorchester,42.30744,-71.06461,Private room,50,28,21,2020-09-21,0.92,17,269
32163985,"Newly reno gorgeous 2 bdrm with prvt prkg,entrance",241290674,Ahmed,,Roxbury,42.32763,-71.08077,Entire home/apt,173,1,60,2021-01-16,2.53,1,28
32183321,"Xtra Large Room Near BU, Harvard, Downtown Boston.",9974594,Hank,,Allston,42.35212,-71.13303,Private room,85,91,8,2019-09-18,0.34,6,90
32197096,Bright Newly Renovated 1 Bed Near Franklin Park !!,5618949,Alan,,Dorchester,42.30172,-71.08372,Entire home/apt,89,4,22,2020-12-31,1.05,4,120
32281287,Master Suite: Whole house + Parking in JP,13960633,Charles,,Jamaica Plain,42.29914,-71.11115,Entire home/apt,95,3,3,2020-12-27,0.48,2,4
32309630,"The Strathmore 8 Greenline | 1BR 1BA | Cleveland Circle, BC and Dana Farber!",71783,Lance,,Brighton,42.33931,-71.15122,Entire home/apt,61,31,5,2020-11-07,0.22,42,337
32324281,Lux 1 BR in Seaport with pool and Boston Harbor views  by Blueground,107434423,Blueground,,South Boston Waterfront,42.3514,-71.04319,Entire home/apt,170,32,0,,,120,47
32330037,607  True One Bedroom In Downtown Boston!,205269848,Temple Place,,Downtown,42.35595,-71.06156,Entire home/apt,103,2,40,2020-08-31,1.78,17,123
32330038,"502 Low Prices, Housing For Essential Workers W/ Affordable Prices",205269848,Temple Place,,Downtown,42.35426,-71.06242,Entire home/apt,96,2,25,2020-05-30,1.22,17,0
32330132,604 Best Location Studio In Downtown Boston,205269848,Temple Place,,Downtown,42.35597,-71.06148,Entire home/apt,134,1,54,2020-06-01,2.36,17,111
32330134,"503 Peaceful Retreat In Boston Near T, Easy Commuting!",205269848,Temple Place,,Downtown,42.35603,-71.06122,Entire home/apt,97,2,17,2020-10-24,0.74,17,0
32330288,Studio Ready 4 Students & Traveling Professionals  307,205269848,Temple Place,,Downtown,42.35465,-71.06174,Private room,81,2,31,2020-03-01,1.57,17,0
32330401,Studio Ready 4 Students & Traveling Professionals! 310,205269848,Temple Place,,Downtown,42.35484,-71.06238,Private room,77,2,32,2020-02-25,1.64,17,144
32330465,608 Stylish Downtown Boston Studio!,205269848,Temple Place,,Downtown,42.35447,-71.06186,Entire home/apt,91,2,28,2020-10-26,1.21,17,99
