id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1231564,Mediterranean Villa - Luxury Bath,6716392,Susan,,Coconut Creek,26.31783,-80.17438,Private room,70,6,118,2020-02-29,1.35,1,335
1293741,Sian 2/2 ocean front & ocean view,6321234,Jason,,Hollywood,25.98707,-80.11925,Entire home/apt,200,4,179,2021-01-02,1.95,1,286
1297784,Florida Style Deerfield Beach Home.,7056347,Chris,,Deerfield Beach,26.30155,-80.09108,Entire home/apt,327,2,154,2021-01-19,1.80,1,326
1301449,3/2 Townhouse Miami/Fort Lauderdale  8 mi to beach,7076305,James,,Miramar,25.97656,-80.2241,Entire home/apt,131,5,61,2020-01-21,0.70,1,298
1305586,Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Lawrence,,Hollywood,25.99211,-80.11724,Entire home/apt,115,29,2,2015-02-28,0.02,1,302
1312899,🌟 SANITIZED🌟 2 BEDROOMS APT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12323,-80.32615,Entire home/apt,107,7,69,2020-12-06,0.78,3,335
1313403,GREEN  OASIS,2453109,Sarah,,Hollywood,26.0297,-80.14122,Entire home/apt,130,3,51,2020-12-13,0.57,4,323
1326340,VILLAS HOLLYWOOD BEACH FL,7198092,Joseph,,Hollywood,26.01673,-80.11708,Entire home/apt,211,30,0,,,2,364
1329995,Water front in Hollywood Fl,7215679,Raja,,Hollywood,25.99439,-80.11851,Entire home/apt,100,30,28,2020-01-11,0.30,2,62
1339495,Waterfront-guesthouse-walk to beach,5540104,Katarina,,Fort Lauderdale,26.11532,-80.11315,Entire home/apt,413,3,3,2017-05-29,0.04,4,346
1365274,Quiet and Cozy yet Convenient,782593,Christina,,Hollywood,26.01574,-80.19875,Entire home/apt,150,30,1,2018-08-07,0.03,1,241
1375343,The Bush House - Small House for two,1304156,Nicolas,,Hollywood,26.02567,-80.14201,Entire home/apt,69,3,130,2021-01-23,1.64,4,355
1376873,Beautiful Boutique Beach Condo,7459306,Rachelle,,Hollywood,26.02369,-80.11542,Entire home/apt,166,1,5,2021-01-02,0.08,1,319
1408900,"2/2 SLEEP 6, MARY POP APARTMENTS, LAST MINUTE OK",454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,130,7,30,2020-06-27,0.36,8,212
1462137,Amazing Ultramodern Hallandale 4 months minimum,7835977,Veronica,,Hallandale Beach,25.98633,-80.11808,Entire home/apt,137,150,0,,,1,301
1488341,PENTHOUSE 2/2 OCEANFRONT ON THE BEACH,2001930,Dmitri,,Hollywood,25.98819,-80.11971,Entire home/apt,249,5,9,2018-05-16,0.11,42,75
1515533,Fort Lauderdale Cottage Oasis,8092157,Mike,,Fort Lauderdale,26.12414,-80.13276,Entire home/apt,130,6,77,2021-01-02,0.90,1,308
1530945,✦Hollywood FL✦✦ON THE BEACH✦✦Miami✦,8166273,Carlos,,Hollywood,25.98828,-80.11746,Entire home/apt,118,1,54,2020-12-26,0.61,1,303
1548483,"""Welcome home on Hallandale Beach""",8250407,Shane,,Hallandale Beach,25.99658,-80.12197,Entire home/apt,115,3,41,2020-02-01,0.46,1,2
1559232,Luxury Beach House 20 steps from the ocean,8298928,Craig,,Hollywood,26.04979,-80.11281,Entire home/apt,400,3,13,2015-11-12,0.15,1,330
1559542,Private Home Near Downtown & Beach remodeled!,1832378,Marc,,Fort Lauderdale,26.10759,-80.14583,Entire home/apt,56,30,26,2020-11-22,0.31,4,81
1602075,Gorgeous Deerfield Home with Heated Pool,1976255,Svetlana,,Deerfield Beach,26.32091,-80.09154,Entire home/apt,250,3,74,2020-12-30,0.85,1,307
1646485,Amazing location across the beach!,8737341,France,,Pompano Beach,26.22763,-80.08991,Entire home/apt,450,7,2,2020-12-09,0.03,1,306
1658551,Piso 6T - Modern  Apartment on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,136,4,16,2019-12-08,0.19,16,347
1661692,2 bedroom. Beach Club,8802450,Janet,,Hallandale Beach,25.98492,-80.11828,Entire home/apt,250,30,0,,,5,361
1664188,3 bedroom/3 baths. Beach Club.,8802450,Janet,,Hallandale Beach,25.9843,-80.11803,Entire home/apt,750,30,0,,,5,365
1664295,On the Beach!  2 bedroom/2 baths,8802450,Janet,,Hollywood,25.9873,-80.11862,Entire home/apt,250,7,0,,,5,365
1682792,"COMPACT, STUDIO, PRETTY, COZY,  STEPS TO BEACH",231429,Sonia,,Hollywood,26.02816,-80.11484,Entire home/apt,70,3,70,2021-01-17,0.81,1,18
1717935,"Comfortable room in Plantation , hi speed int+desk",8185224,Lissette,,Plantation,26.12559,-80.25031,Private room,54,20,16,2020-11-14,0.31,3,178
1744871,Oceanfront condo in Fort Lauderdale,9184480,Tina + Hans,,Lauderdale By The Sea,26.21254,-80.09187,Entire home/apt,130,7,52,2020-12-27,0.60,1,252
1750221,3BDR-2BA Home in quiet neighborhood,9207908,Lee,,North Lauderdale,26.21703,-80.22507,Private room,45,1,1,2020-01-12,0.08,2,364
1751870,Joyous Mermaid House-Power Cleaned,113524,Elle And Paul,,Hollywood,26.0204,-80.15441,Entire home/apt,90,3,31,2020-12-29,0.36,1,177
1773712,Tropical Pool Home and Pavilion,9315425,Mark,,Plantation,26.10882,-80.21644,Entire home/apt,279,3,96,2021-01-25,1.10,1,2
1796704,NEW 2 BED APARTMENT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12808,-80.3167,Entire home/apt,125,21,31,2018-11-17,0.36,3,335
1819422,Villa-Coral-Ridge-Fort Lauderdale,9526715,Jean Yves,,Fort Lauderdale,26.20035,-80.12661,Entire home/apt,300,2,21,2020-07-28,0.28,1,74
1833969,LUXURIOUS MODERN WATERFRONT HOME,1437849,Christophe,,Pompano Beach,26.21261,-80.10314,Entire home/apt,450,3,4,2017-11-24,0.05,1,302
1856146,Cozy Seaward Shores! Walk to Beach & Beach Club!,9443719,Ida Annika,,Lauderdale By The Sea,26.21876,-80.09492,Entire home/apt,628,7,6,2019-08-19,0.08,11,327
1858886,4BR Waterfront Home w/pool - Tropic Tiki Villa!,9443719,Ida Annika,,Pompano Beach,26.21185,-80.10533,Entire home/apt,832,2,14,2020-09-27,0.18,11,361
1865860,Comfy Studio in Quiet Neighborhood,2692728,Vera,,Oakland Park,26.17391,-80.1509,Entire home/apt,90,1,428,2021-01-03,4.87,3,171
