id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45530423,Cozy apartment in amazing Denver location!,219530004,Irene,,Five Points,39.76019,-104.99658,Entire home/apt,130,1,8,2021-01-17,1.98,1,338
45532578,***PET FRIENDLY*** HIP BAKER HOME w/★★★★★ location,2619306,Zack,,Speer,39.71289,-104.98651,Entire home/apt,108,1,17,2021-01-29,5.48,9,16
45542723,The Choir Loft at edge of RiNo and Five-Points,245690339,Brad,,Five Points,39.76009,-104.97338,Entire home/apt,86,1,22,2021-01-25,7.25,1,3
45548336,KING BED - PET FRIENDLY - Fully Remodeled Home,39464871,Samuel,,Northeast Park Hill,39.76899,-104.91719,Entire home/apt,99,2,10,2021-01-17,2.38,1,346
45561887,Professionally maintained apt | 1BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,120,90,0,,,207,360
45561918,Well-kept apartment home | 1BR in Denver,359071917,Kia,,Highland,39.75646,-105.00797,Entire home/apt,95,30,0,,,207,360
45561926,Well-kept apartment home | Studio in Denver,359071917,Kia,,Highland,39.75646,-105.00797,Entire home/apt,93,30,0,,,207,360
45562129,Rest easy and live life | 1BR in Denver,359071917,Kia,,University Park,39.67527,-104.95898,Entire home/apt,117,30,0,,,207,360
45562498,Relax in comfort | 1BR in Denver,359071917,Kia,,West Highland,39.76899,-105.03336,Entire home/apt,120,30,0,,,207,356
45562669,Live + Work + Stay + Easy | 1BR in Denver,359071917,Kia,,Lowry Field,39.72328,-104.87606,Entire home/apt,105,30,0,,,207,360
45563234,Spacious Private Suite in Boutique Hotel,360560535,Kathryn,,CBD,39.7465,-104.9915,Private room,119,2,3,2020-11-15,0.74,23,360
45564300,Stay at a Boutique Hotel in the Heart of Downtown,360560535,Kathryn,,CBD,39.7478,-104.9929,Private room,119,1,2,2020-10-25,0.53,23,364
45564340,Boutique Suite at the Magnolia Downtown,360560535,Kathryn,,CBD,39.74793,-104.99339,Private room,119,1,3,2020-11-01,0.74,23,364
45564390,Boutique Suite with Late Check-Out in Downtown,360560535,Kathryn,,CBD,39.74718,-104.99197,Private room,169,1,1,2020-10-18,0.28,23,364
45564429,Spacious Suite in Downtown with Late Check-out,360560535,Kathryn,,CBD,39.74757,-104.99324,Private room,169,1,0,,,23,364
45564487,700 sq. Foot Suite in Boutique Hotel,360560535,Kathryn,,CBD,39.74766,-104.99181,Private room,119,1,4,2020-10-31,0.99,23,364
45564520,700 sq. Foot Private Suite in Downtown Denver,360560535,Kathryn,,CBD,39.74755,-104.99245,Private room,119,1,2,2020-10-26,0.53,23,364
45564549,Spacious 700 sq. Foot Suite in Boutique Hotel,360560535,Kathryn,,CBD,39.74625,-104.9913,Private room,119,1,3,2021-01-31,0.84,23,365
45564577,Enjoy a Deluxe King Room in Downtown Denver,360560535,Kathryn,,CBD,39.74701,-104.99154,Private room,84,1,42,2021-01-28,10.41,23,289
45564679,Two Queen Beds Located in a Boutique Hotel,360560535,Kathryn,,CBD,39.74713,-104.99244,Private room,105,1,9,2020-12-31,2.48,23,361
45568873,Steps from all the fun in Cherry Creek North,80253208,Nicole,,Cherry Creek,39.72097,-104.95455,Entire home/apt,250,2,0,,,2,363
45581046,Cozy Stay in Trendy Neighborhood,14202488,Erika,,Five Points,39.76412,-104.98611,Entire home/apt,131,29,10,2021-01-02,2.86,1,122
45584495,"Cozy and Cute, front half of duplex.",2882621,Chris,,Northeast Park Hill,39.76573,-104.92767,Entire home/apt,80,30,0,,,1,180
45594875,Long-Term Room Rental - Hypoallergenic Friendly,6602610,Andrea,,Harvey Park South,39.66527,-105.03206,Private room,45,30,2,2020-11-28,0.59,1,360
45597610,Highlands Brick Bungalow Suite,283022459,Elizabeth,,Sloan Lake,39.75841,-105.03625,Entire home/apt,78,1,5,2021-01-24,1.28,1,60
45619311,4 Story Townhome w/ Rooftop City Views,125237810,Livia,,Lincoln Park,39.73222,-105.00474,Entire home/apt,165,30,1,2020-11-22,0.42,1,362
45637482,New Modern Townhome - Mountain + City Rooftop View,20722109,Sara,,West Colfax,39.74558,-105.03032,Entire home/apt,200,2,0,,,2,178
45637754,Lovely sunlit apt on tree lined street! VI,193108199,Amy,,Capitol Hill,39.73367,-104.97314,Entire home/apt,120,30,1,2020-11-08,0.35,10,89
45639463,Professionally maintained apt | 1BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,113,90,0,,,207,360
45644999,Gorgeous townhouse-  heart of Cherry Creek!,136395587,Julia,,Cherry Creek,39.71267,-104.94308,Entire home/apt,125,3,6,2021-01-01,1.64,1,38
45653210,Broadway Champagne,270403191,Carl,,Baker,39.71986,-104.9989,Entire home/apt,81,1,3,2021-01-16,0.97,1,180
45655361,Professionally maintained apt | 2BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,157,90,0,,,207,360
45673607,Historic Home with Modern Amenities,19198280,Ben,,Baker,39.71783,-104.98968,Entire home/apt,200,2,2,2020-11-09,0.57,1,1
45684967,Denver Corner Casa: Made Cozy by a Local Designer,70014396,Sineah,,North Park Hill,39.75395,-104.9175,Entire home/apt,206,2,10,2021-01-22,2.65,1,332
45688097,"Modern, Cozy Guesthouse Steps from RINO",260678363,Madyson,,Cole,39.76542,-104.97186,Entire home/apt,75,1,15,2021-01-28,3.78,3,143
45689124,Ideally Located Downtown Studio w/ Mountain Views,13738836,Nicholas,,CBD,39.7469,-104.99776,Entire home/apt,70,30,1,2021-01-16,1,1,0
45691285,30 Day Minimum: 2nd Floor Apt. Baker Neighborhood,100182237,John,,Baker,39.71882,-104.99092,Entire home/apt,55,30,1,2020-11-05,0.34,2,306
45700921,Luxe Private Studio Near Downtown Denver! CDC Safe,181205324,Plushy,,Globeville,39.7717,-104.99753,Entire home/apt,60,2,8,2020-12-18,2.12,2,206
45702292,Perry Street Oasis -- One Block to Sloan's Lake,370338467,Nicole,,West Colfax,39.74277,-105.03947,Entire home/apt,175,3,4,2021-01-10,1.90,1,0
45702644,Professionally maintained apt | 1BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,124,90,0,,,207,360
45702712,Professionally maintained apt | 2BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,154,90,0,,,207,360
45708299,Designer Studio in Denver's Historic District,218978124,Jessica,,Cheesman Park,39.73787,-104.97297,Entire home/apt,88,29,1,2020-11-23,0.42,1,89
45710801,Brand new Sloan's Lake townhome with rooftop views,8915997,Raksha,,West Colfax,39.74229,-105.03092,Entire home/apt,143,2,2,2021-01-17,2,1,0
45720276,Cozy West Highlands Cottage - Amazing Location!,107400066,Ehren,,West Highland,39.76188,-105.05051,Entire home/apt,137,1,9,2021-01-03,2.50,1,154
45721396,Basement Suite w/ Private Bathroom & Kitchenette.,273432981,Anastasia,,Virginia Village,39.67979,-104.91159,Private room,45,2,4,2021-01-01,1.11,1,11
45723001,Industrial 2BR/2BA Apt Near RiNo Art District,215059348,Austin,,Five Points,39.75741,-104.9883,Entire home/apt,179,2,14,2021-01-03,3.65,1,99
45724176,Private Entrance GuestSuite in the♥of Capital Hill,8514755,Brandon,,Capitol Hill,39.72821,-104.97568,Entire home/apt,126,1,28,2021-01-17,7.18,1,62
45725617,SANITIZED - Spacious 2BE/2BA Condo 5 min 2 DT 🐶,9691307,Gretchen & Jim,,Washington Park West,39.70147,-104.9752,Entire home/apt,99,30,0,,,11,166
45726494,Quiet Room Northeast Denver,11495188,Eirin,,Gateway - Green Valley Ranch,39.78033,-104.79974,Private room,40,30,1,2020-11-05,0.34,1,277
45734227,Modern Studio Steps from Tennyson Street,43977375,Meghan,,Berkeley,39.76969,-105.04412,Entire home/apt,110,2,10,2021-01-04,2.63,1,346
45737472,"Clean, comfortable apartment | 1BR in Denver",359071917,Kia,,Baker,39.71146,-104.99284,Entire home/apt,92,90,0,,,207,360
45737597,Professionally maintained apt | 2BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,152,90,0,,,207,360
45741274,Modern 2BR Guest Apt in Denver Art District,362187052,Evan & Joe,,Lincoln Park,39.72577,-104.99816,Entire home/apt,111,2,16,2021-01-27,4.21,1,76
45750203,Live + Work + Stay + Easy  |  2BR in Denver,359071917,Kia,,Lowry Field,39.72328,-104.87606,Entire home/apt,135,30,0,,,207,360
45751275,Newly updated apartment in Cap Hill,192655287,Lauren,,Capitol Hill,39.73341,-104.9857,Entire home/apt,100,2,2,2020-12-26,0.57,1,0
45756035,Professionally maintained apt | 1BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,130,90,0,,,207,360
45756042,Professionally maintained apt | 1BR in Denver,359071917,Kia,,City Park,39.74158,-104.95294,Entire home/apt,122,90,0,,,207,360
45756783,Ballarat Chill Apartment In DTC With A Pool & Gym.,213457607,Debbie,,Southmoor Park,39.63541,-104.91054,Private room,119,1,0,,,1,177
45757718,Suite with private entrance in central Denver,370963931,Isabelle,,Hale,39.72808,-104.9235,Private room,68,2,3,2020-12-14,0.84,1,28
45764936,DIA Bed&Breakfast #2,368504087,Edith,,Gateway - Green Valley Ranch,39.77692,-104.74931,Private room,59,29,0,,,4,365
45765236,DIA Bed&Breakfast # 3,368504087,Edith,,Gateway - Green Valley Ranch,39.77538,-104.75046,Private room,59,29,2,2020-10-18,0.56,4,0
45767042,Home Close to Everything: City Views+Mnt Getaways!,15910418,Andrea,,Villa Park,39.72874,-105.02564,Entire home/apt,196,2,9,2021-01-17,3.14,1,270
45767206,"Aloha Park Hill - 2-bedroom, 1-bath *NEW*",370944955,Optima,,North Park Hill,39.76169,-104.9228,Entire home/apt,90,30,0,,,4,89
